Start,Type,Latency,Code
326003875,Get,141970125,200
344128500,Get,123895875,200
346463750,Get,121537084,200
321154042,Get,146929167,200
331732750,Get,136326334,200
324867625,Get,143172375,200
347067959,Get,121091666,200
347588125,Get,120541709,200
344060750,Get,124068542,200
460922209,Get,76659208,200
461175584,Get,76509583,200
461008584,Get,76655084,200
461257042,Get,76392458,200
461096459,Get,76497542,200
459527042,Get,78054541,200
467300292,Get,79717042,200
465626334,Get,83397209,200
463121792,Get,85935500,200
465161084,Get,83983375,200
463168500,Get,85934792,200
461328042,Get,87751458,200
464513750,Get,84655833,200
466725250,Get,87368625,200
465202959,Get,88908416,200
464474750,Get,89695958,200
467063542,Get,87089916,200
466827709,Get,87305917,200
463047667,Get,91192792,200
467219209,Get,86996833,200
466223459,Get,87976917,200
468063625,Get,86324083,200
467327584,Get,87015125,200
459091959,Get,95209375,200
466180375,Get,88117500,200
465943125,Get,88491167,200
466050125,Get,89397833,200
465840292,Get,89633958,200
463225000,Get,92285458,200
461382500,Get,94111458,200
467191750,Get,88386500,200
468170917,Get,87457250,200
468122834,Get,87410750,200
468237000,Get,87437750,200
466787084,Get,88871750,200
466288500,Get,89479792,200
467957042,Get,87839292,200
465893000,Get,89856250,200
466513959,Get,89214792,200
468268000,Get,87435875,200
464586959,Get,91225792,200
465101042,Get,90676833,200
467116250,Get,89770417,200
466753625,Get,90167000,200
466857167,Get,90044667,200
466259375,Get,90730458,200
464434084,Get,92523333,200
466385834,Get,90682125,200
466091250,Get,91011042,200
465982125,Get,91052000,200
468211167,Get,88951208,200
468030959,Get,89107041,200
466016959,Get,91103750,200
467356834,Get,89735084,200
466322875,Get,90976584,200
464547250,Get,92735542,200
468092209,Get,89163125,200
466355792,Get,90862292,200
467262125,Get,89929959,200
467386459,Get,90049542,200
467997500,Get,89424875,200
468293750,Get,89104000,200
467154375,Get,90205417,200
466129625,Get,91187042,200
538159000,Get,72779167,200
538345834,Get,72677209,200
538286667,Get,72719583,200
538226042,Get,72762625,200
538399584,Get,72567750,200
537765500,Get,73193000,200
549129250,Get,71216792,200
549064375,Get,73138458,200
549291917,Get,72923000,200
547070042,Get,75222791,200
549183042,Get,74830333,200
549346042,Get,74708125,200
549242292,Get,74789083,200
554169750,Get,71688667,200
554539375,Get,72507917,200
554576875,Get,74377875,200
555595167,Get,73383875,200
554437834,Get,74587250,200
554129459,Get,74875125,200
554402625,Get,74727791,200
554208792,Get,74890208,200
554247292,Get,74808500,200
555563167,Get,75232000,200
555486084,Get,75354000,200
554283459,Get,76536083,200
554507292,Get,76354958,200
554369792,Get,77217541,200
555872750,Get,75769167,200
555630625,Get,75990417,200
555524584,Get,76123250,200
555967625,Get,76933625,200
555768667,Get,77181792,200
555841709,Get,77154417,200
555800459,Get,77132042,200
555998834,Get,76926083,200
555903500,Get,76998709,200
555667417,Get,77330375,200
554468875,Get,79886625,200
557066834,Get,77358333,200
557131917,Get,77352792,200
556992875,Get,77410416,200
557260375,Get,77318875,200
555699709,Get,78858167,200
557434500,Get,77253833,200
556920167,Get,77614500,200
554606250,Get,79901208,200
557023000,Get,77429458,200
557196042,Get,77651834,200
557464667,Get,77547417,200
556953834,Get,77847625,200
557331250,Get,77812208,200
557366042,Get,77409250,200
557229792,Get,77526834,200
557299584,Get,77417667,200
557101709,Get,77543583,200
557164750,Get,77434792,200
557525375,Get,77662458,200
557402417,Get,77689625,200
557617917,Get,77451333,200
